Taal;Classificatie;Tabel;Class-tekstcodenotatie;Class-codenotatie;tekst_NL-SfB;fullname_nl;shortname_nl
nl-NL;NL/SfB;Tabel 1;(42.0);42.0;"binnenwandafwerkingen; algemeen";"(42.0) binnenwandafwerkingen; algemeen";NL/SfB - Tabel 1 - (42.0)
nl-NL;NL/SfB;Tabel 1;(42.1);42.1;binnenwandafwerkingen;(42.1) binnenwandafwerkingen;NL/SfB - Tabel 1 - (42.1)
nl-NL;NL/SfB;Tabel 1;(42.10);42.10;"binnenwandafwerkingen; algemeen (verzamelniveau)";"(42.10) binnenwandafwerkingen; algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (42.10)
nl-NL;NL/SfB;Tabel 1;(42.11);42.11;"binnenwandafwerkingen; afwerklagen";"(42.11) binnenwandafwerkingen; afwerklagen";NL/SfB - Tabel 1 - (42.11)
nl-NL;NL/SfB;Tabel 1;(42.12);42.12;"binnenwandafwerkingen; bekledingen";"(42.12) binnenwandafwerkingen; bekledingen";NL/SfB - Tabel 1 - (42.12)
nl-NL;NL/SfB;Tabel 1;(43);43;Vloerafwerkingen;(43) Vloerafwerkingen;NL/SfB - Tabel 1 - (43)
nl-NL;NL/SfB;Tabel 1;(43.0);43.0;"vloerafwerkingen; algemeen";"(43.0) vloerafwerkingen; algemeen";NL/SfB - Tabel 1 - (43.0)
nl-NL;NL/SfB;Tabel 1;(43.1);43.1;"vloerafwerkingen; verhoogd";"(43.1) vloerafwerkingen; verhoogd";NL/SfB - Tabel 1 - (43.1)
nl-NL;NL/SfB;Tabel 1;(43.10);43.10;"vloerafwerkingen; verhoogd, algemeen (verzamelniveau)";"(43.10) vloerafwerkingen; verhoogd, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (43.10)
nl-NL;NL/SfB;Tabel 1;(43.11);43.11;"vloerafwerkingen; verhoogd, podiums";"(43.11) vloerafwerkingen; verhoogd, podiums";NL/SfB - Tabel 1 - (43.11)
nl-NL;NL/SfB;Tabel 1;(43.12);43.12;"vloerafwerkingen; verhoogd, installatievloeren";"(43.12) vloerafwerkingen; verhoogd, installatievloeren";NL/SfB - Tabel 1 - (43.12)
nl-NL;NL/SfB;Tabel 1;(43.2);43.2;"vloerafwerkingen; niet verhoogd";"(43.2) vloerafwerkingen; niet verhoogd";NL/SfB - Tabel 1 - (43.2)
nl-NL;NL/SfB;Tabel 1;(43.20);43.20;"vloerafwerkingen; niet verhoogd, algemeen (verzamelniveau)";"(43.20) vloerafwerkingen; niet verhoogd, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (43.20)
nl-NL;NL/SfB;Tabel 1;(43.21);43.21;"vloerafwerkingen; niet verhoogd, afwerklagen";"(43.21) vloerafwerkingen; niet verhoogd, afwerklagen";NL/SfB - Tabel 1 - (43.21)
nl-NL;NL/SfB;Tabel 1;(43.22);43.22;"vloerafwerkingen; niet verhoogd, bekledingen";"(43.22) vloerafwerkingen; niet verhoogd, bekledingen";NL/SfB - Tabel 1 - (43.22)
nl-NL;NL/SfB;Tabel 1;(43.23);43.23;"vloerafwerkingen; niet verhoogd, systeemvloerafwerkingen";"(43.23) vloerafwerkingen; niet verhoogd, systeemvloerafwerkingen";NL/SfB - Tabel 1 - (43.23)
nl-NL;NL/SfB;Tabel 1;(44);44;Trap- en hellingafwerkingen;(44) Trap- en hellingafwerkingen;NL/SfB - Tabel 1 - (44)
nl-NL;NL/SfB;Tabel 1;(44.0);44.0;"trap- en hellingafwerkingen; algemeen";"(44.0) trap- en hellingafwerkingen; algemeen";NL/SfB - Tabel 1 - (44.0)
nl-NL;NL/SfB;Tabel 1;(44.1);44.1;"trap- en hellingafwerkingen; trapafwerkingen";"(44.1) trap- en hellingafwerkingen; trapafwerkingen";NL/SfB - Tabel 1 - (44.1)
nl-NL;NL/SfB;Tabel 1;(44.10);44.10;"trap- en hellingafwerkingen; trapafwerkingen, algemeen (verzamelniveau)";"(44.10) trap- en hellingafwerkingen; trapafwerkingen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (44.10)
nl-NL;NL/SfB;Tabel 1;(44.11);44.11;"trap- en hellingafwerkingen; trapafwerkingen, afwerklagen";"(44.11) trap- en hellingafwerkingen; trapafwerkingen, afwerklagen";NL/SfB - Tabel 1 - (44.11)
nl-NL;NL/SfB;Tabel 1;(44.12);44.12;"trap- en hellingafwerkingen; trapafwerkingen, bekledingen";"(44.12) trap- en hellingafwerkingen; trapafwerkingen, bekledingen";NL/SfB - Tabel 1 - (44.12)
nl-NL;NL/SfB;Tabel 1;(44.13);44.13;"trap- en hellingafwerkingen; trapafwerkingen, systeemafwerkingen";"(44.13) trap- en hellingafwerkingen; trapafwerkingen, systeemafwerkingen";NL/SfB - Tabel 1 - (44.13)
nl-NL;NL/SfB;Tabel 1;(44.2);44.2;"trap- en hellingafwerkingen; hellingafwerkingen";"(44.2) trap- en hellingafwerkingen; hellingafwerkingen";NL/SfB - Tabel 1 - (44.2)
nl-NL;NL/SfB;Tabel 1;(44.20);44.20;"trap- en hellingafwerkingen; hellingafwerkingen, algemeen (verzamelniveau)";"(44.20) trap- en hellingafwerkingen; hellingafwerkingen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (44.20)
nl-NL;NL/SfB;Tabel 1;(44.21);44.21;"trap- en hellingafwerkingen; hellingafwerkingen, afwerklagen";"(44.21) trap- en hellingafwerkingen; hellingafwerkingen, afwerklagen";NL/SfB - Tabel 1 - (44.21)
nl-NL;NL/SfB;Tabel 1;(44.22);44.22;"trap- en hellingafwerkingen; hellingafwerkingen, bekledingen";"(44.22) trap- en hellingafwerkingen; hellingafwerkingen, bekledingen";NL/SfB - Tabel 1 - (44.22)
nl-NL;NL/SfB;Tabel 1;(44.23);44.23;"trap- en hellingafwerkingen; hellingafwerkingen, systeemafwerkingen";"(44.23) trap- en hellingafwerkingen; hellingafwerkingen, systeemafwerkingen";NL/SfB - Tabel 1 - (44.23)
nl-NL;NL/SfB;Tabel 1;(45);45;Plafondafwerkingen;(45) Plafondafwerkingen;NL/SfB - Tabel 1 - (45)
nl-NL;NL/SfB;Tabel 1;(45.0);45.0;"plafondafwerkingen; algemeen";"(45.0) plafondafwerkingen; algemeen";NL/SfB - Tabel 1 - (45.0)
nl-NL;NL/SfB;Tabel 1;(45.1);45.1;"plafondafwerkingen; verlaagd";"(45.1) plafondafwerkingen; verlaagd";NL/SfB - Tabel 1 - (45.1)
nl-NL;NL/SfB;Tabel 1;(45.10);45.10;"plafondafwerkingen; verlaagd, algemeen (verzamelniveau)";"(45.10) plafondafwerkingen; verlaagd, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (45.10)
nl-NL;NL/SfB;Tabel 1;(45.11);45.11;"plafondafwerkingen; verlaagd, verlaagde plafonds";"(45.11) plafondafwerkingen; verlaagd, verlaagde plafonds";NL/SfB - Tabel 1 - (45.11)
nl-NL;NL/SfB;Tabel 1;(45.12);45.12;"plafondafwerkingen; verlaagd, systeemplafonds";"(45.12) plafondafwerkingen; verlaagd, systeemplafonds";NL/SfB - Tabel 1 - (45.12)
nl-NL;NL/SfB;Tabel 1;(45.14);45.14;"plafondafwerkingen; verlaagd, koofconstructies";"(45.14) plafondafwerkingen; verlaagd, koofconstructies";NL/SfB - Tabel 1 - (45.14)
nl-NL;NL/SfB;Tabel 1;(45.15);45.15;"plafondafwerkingen; verlaagd, gordijnplanken";"(45.15) plafondafwerkingen; verlaagd, gordijnplanken";NL/SfB - Tabel 1 - (45.15)
nl-NL;NL/SfB;Tabel 1;(45.2);45.2;"plafondafwerkingen; niet verlaagd";"(45.2) plafondafwerkingen; niet verlaagd";NL/SfB - Tabel 1 - (45.2)
nl-NL;NL/SfB;Tabel 1;(45.20);45.20;"plafondafwerkingen; niet verlaagd, algemeen (verzamelniveau)";"(45.20) plafondafwerkingen; niet verlaagd, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (45.20)
nl-NL;NL/SfB;Tabel 1;(45.21);45.21;"plafondafwerkingen; niet verlaagd, afwerkingen";"(45.21) plafondafwerkingen; niet verlaagd, afwerkingen";NL/SfB - Tabel 1 - (45.21)
nl-NL;NL/SfB;Tabel 1;(45.22);45.22;"plafondafwerkingen; niet verlaagd, bekledingen";"(45.22) plafondafwerkingen; niet verlaagd, bekledingen";NL/SfB - Tabel 1 - (45.22)
nl-NL;NL/SfB;Tabel 1;(45.23);45.23;"plafondafwerkingen; niet verlaagd, systeemafwerkingen";"(45.23) plafondafwerkingen; niet verlaagd, systeemafwerkingen";NL/SfB - Tabel 1 - (45.23)
nl-NL;NL/SfB;Tabel 1;(45.24);45.24;"plafondafwerkingen; niet verlaagd, koofconstructies";"(45.24) plafondafwerkingen; niet verlaagd, koofconstructies";NL/SfB - Tabel 1 - (45.24)
nl-NL;NL/SfB;Tabel 1;(45.25);45.25;"plafondafwerkingen; niet verlaagd, gordijnplanken";"(45.25) plafondafwerkingen; niet verlaagd, gordijnplanken";NL/SfB - Tabel 1 - (45.25)
nl-NL;NL/SfB;Tabel 1;(46);46;-gereserveerd-;(46) -gereserveerd-;NL/SfB - Tabel 1 - (46)
nl-NL;NL/SfB;Tabel 1;(47);47;Dakafwerkingen;(47) Dakafwerkingen;NL/SfB - Tabel 1 - (47)
nl-NL;NL/SfB;Tabel 1;(47.0);47.0;"dakafwerkingen; algemeen";"(47.0) dakafwerkingen; algemeen";NL/SfB - Tabel 1 - (47.0)
nl-NL;NL/SfB;Tabel 1;(47.1);47.1;"dakafwerkingen; afwerkingen";"(47.1) dakafwerkingen; afwerkingen";NL/SfB - Tabel 1 - (47.1)
nl-NL;NL/SfB;Tabel 1;(47.10);47.10;"dakafwerkingen; afwerkingen, algemeen (verzamelniveau)";"(47.10) dakafwerkingen; afwerkingen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (47.10)
nl-NL;NL/SfB;Tabel 1;(47.11);47.11;"dakafwerkingen; afwerkingen, vlakke dakafwerkingen";"(47.11) dakafwerkingen; afwerkingen, vlakke dakafwerkingen";NL/SfB - Tabel 1 - (47.11)
nl-NL;NL/SfB;Tabel 1;(47.12);47.12;"dakafwerkingen; afwerkingen, hellende dakafwerkingen";"(47.12) dakafwerkingen; afwerkingen, hellende dakafwerkingen";NL/SfB - Tabel 1 - (47.12)
nl-NL;NL/SfB;Tabel 1;(47.13);47.13;"dakafwerkingen; afwerkingen, luifelafwerkingen";"(47.13) dakafwerkingen; afwerkingen, luifelafwerkingen";NL/SfB - Tabel 1 - (47.13)
nl-NL;NL/SfB;Tabel 1;(47.14);47.14;"dakafwerkingen; afwerkingen, overkappingsafwerkingen";"(47.14) dakafwerkingen; afwerkingen, overkappingsafwerkingen";NL/SfB - Tabel 1 - (47.14)
nl-NL;NL/SfB;Tabel 1;(47.15);47.15;"dakafwerkingen; afwerkingen, beloopbare dakafwerkingen";"(47.15) dakafwerkingen; afwerkingen, beloopbare dakafwerkingen";NL/SfB - Tabel 1 - (47.15)
nl-NL;NL/SfB;Tabel 1;(47.16);47.16;"dakafwerkingen; afwerkingen, berijdbare dakafwerkingen";"(47.16) dakafwerkingen; afwerkingen, berijdbare dakafwerkingen";NL/SfB - Tabel 1 - (47.16)
nl-NL;NL/SfB;Tabel 1;(47.2);47.2;"dakafwerkingen; bekledingen";"(47.2) dakafwerkingen; bekledingen";NL/SfB - Tabel 1 - (47.2)
nl-NL;NL/SfB;Tabel 1;(47.20);47.20;"dakafwerkingen; bekledingen, algemeen (verzamelniveau)";"(47.20) dakafwerkingen; bekledingen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (47.20)
nl-NL;NL/SfB;Tabel 1;(47.21);47.21;"dakafwerkingen; bekledingen, vlakke dak bekledingen";"(47.21) dakafwerkingen; bekledingen, vlakke dak bekledingen";NL/SfB - Tabel 1 - (47.21)
nl-NL;NL/SfB;Tabel 1;(47.22);47.22;"dakafwerkingen; bekledingen, hellende dak bekledingen";"(47.22) dakafwerkingen; bekledingen, hellende dak bekledingen";NL/SfB - Tabel 1 - (47.22)
nl-NL;NL/SfB;Tabel 1;(47.23);47.23;"dakafwerkingen; bekledingen, luifel bekledingen";"(47.23) dakafwerkingen; bekledingen, luifel bekledingen";NL/SfB - Tabel 1 - (47.23)
nl-NL;NL/SfB;Tabel 1;(47.24);47.24;"dakafwerkingen; bekledingen, overkapping bekledingen";"(47.24) dakafwerkingen; bekledingen, overkapping bekledingen";NL/SfB - Tabel 1 - (47.24)
nl-NL;NL/SfB;Tabel 1;(47.25);47.25;"dakafwerkingen; bekledingen, beloopbare dak bekledingen";"(47.25) dakafwerkingen; bekledingen, beloopbare dak bekledingen";NL/SfB - Tabel 1 - (47.25)
nl-NL;NL/SfB;Tabel 1;(47.26);47.26;"dakafwerkingen; bekledingen, berijdbare dak  bekledingen";"(47.26) dakafwerkingen; bekledingen, berijdbare dak  bekledingen";NL/SfB - Tabel 1 - (47.26)
nl-NL;NL/SfB;Tabel 1;(48);48;Afwerkingpakketten;(48) Afwerkingpakketten;NL/SfB - Tabel 1 - (48)
nl-NL;NL/SfB;Tabel 1;(48.0);48.0;"afwerkingspakketten; algemeen";"(48.0) afwerkingspakketten; algemeen";NL/SfB - Tabel 1 - (48.0)
nl-NL;NL/SfB;Tabel 1;(48.1);48.1;afwerkingspakketten;(48.1) afwerkingspakketten;NL/SfB - Tabel 1 - (48.1)
nl-NL;NL/SfB;Tabel 1;(48.10);48.10;"afwerkingspakketten; algemeen (verzamelniveau)";"(48.10) afwerkingspakketten; algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (48.10)
nl-NL;NL/SfB;Tabel 1;(48.11);48.11;"afwerkingspakketten; naadloze afwerkingen";"(48.11) afwerkingspakketten; naadloze afwerkingen";NL/SfB - Tabel 1 - (48.11)
nl-NL;NL/SfB;Tabel 1;(48.12);48.12;"afwerkingspakketten; overige afwerkingen";"(48.12) afwerkingspakketten; overige afwerkingen";NL/SfB - Tabel 1 - (48.12)
nl-NL;NL/SfB;Tabel 1;(49);49;-gereserveerd-;(49) -gereserveerd-;NL/SfB - Tabel 1 - (49)
nl-NL;NL/SfB;Tabel 1;(5-);5-;INSTALLATIES WERKTUIGBOUWKUNDIG;(5-) INSTALLATIES WERKTUIGBOUWKUNDIG;NL/SfB - Tabel 1 - (5-)
nl-NL;NL/SfB;Tabel 1;(50);50;-gereserveerd-;(50) -gereserveerd-;NL/SfB - Tabel 1 - (50)
nl-NL;NL/SfB;Tabel 1;(51);51;Warmteopwekking;(51) Warmteopwekking;NL/SfB - Tabel 1 - (51)
nl-NL;NL/SfB;Tabel 1;(51.0);51.0;"warmte-opwekking; algemeen";"(51.0) warmte-opwekking; algemeen";NL/SfB - Tabel 1 - (51.0)
nl-NL;NL/SfB;Tabel 1;(51.1);51.1;"warmte-opwekking; lokaal";"(51.1) warmte-opwekking; lokaal";NL/SfB - Tabel 1 - (51.1)
nl-NL;NL/SfB;Tabel 1;(51.10);51.10;"warmte-opwekking; lokaal, algemeen (verzamelniveau)";"(51.10) warmte-opwekking; lokaal, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (51.10)
nl-NL;NL/SfB;Tabel 1;(51.11);51.11;"warmte-opwekking; lokaal, gasvormige brandstoffen";"(51.11) warmte-opwekking; lokaal, gasvormige brandstoffen";NL/SfB - Tabel 1 - (51.11)
nl-NL;NL/SfB;Tabel 1;(51.12);51.12;"warmte-opwekking; lokaal, vloeibare brandstoffen";"(51.12) warmte-opwekking; lokaal, vloeibare brandstoffen";NL/SfB - Tabel 1 - (51.12)
nl-NL;NL/SfB;Tabel 1;(51.13);51.13;"warmte-opwekking; lokaal, vaste brandstoffen";"(51.13) warmte-opwekking; lokaal, vaste brandstoffen";NL/SfB - Tabel 1 - (51.13)
nl-NL;NL/SfB;Tabel 1;(51.14);51.14;"warmte-opwekking; lokaal, schoorstenen/kanalen (niet bouwkundig)";"(51.14) warmte-opwekking; lokaal, schoorstenen/kanalen (niet bouwkundig)";NL/SfB - Tabel 1 - (51.14)
nl-NL;NL/SfB;Tabel 1;(51.16);51.16;"warmte-opwekking; lokaal, gecombineerde tapwaterverwarming";"(51.16) warmte-opwekking; lokaal, gecombineerde tapwaterverwarming";NL/SfB - Tabel 1 - (51.16)
nl-NL;NL/SfB;Tabel 1;(51.19);51.19;"warmte-opwekking; lokaal, brandstoffenopslag";"(51.19) warmte-opwekking; lokaal, brandstoffenopslag";NL/SfB - Tabel 1 - (51.19)
nl-NL;NL/SfB;Tabel 1;(51.2);51.2;"warmte-opwekking; centraal";"(51.2) warmte-opwekking; centraal";NL/SfB - Tabel 1 - (51.2)
nl-NL;NL/SfB;Tabel 1;(51.20);51.20;"warmte-opwekking; centraal, algemeen (verzamelniveau)";"(51.20) warmte-opwekking; centraal, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (51.20)
nl-NL;NL/SfB;Tabel 1;(51.21);51.21;"warmte-opwekking; centraal, gasvormige brandstoffen";"(51.21) warmte-opwekking; centraal, gasvormige brandstoffen";NL/SfB - Tabel 1 - (51.21)
nl-NL;NL/SfB;Tabel 1;(51.22);51.22;"warmte-opwekking; centraal, vloeibare brandstoffen";"(51.22) warmte-opwekking; centraal, vloeibare brandstoffen";NL/SfB - Tabel 1 - (51.22)
nl-NL;NL/SfB;Tabel 1;(51.23);51.23;"warmte-opwekking; centraal, vaste brandstoffen";"(51.23) warmte-opwekking; centraal, vaste brandstoffen";NL/SfB - Tabel 1 - (51.23)
nl-NL;NL/SfB;Tabel 1;(51.24);51.24;"warmte-opwekking; centraal, schoorstenen/kanalen (niet bouwkundig)";"(51.24) warmte-opwekking; centraal, schoorstenen/kanalen (niet bouwkundig)";NL/SfB - Tabel 1 - (51.24)
nl-NL;NL/SfB;Tabel 1;(51.26);51.26;"warmte-opwekking; centraal, gecombineerde tapwaterverwarming";"(51.26) warmte-opwekking; centraal, gecombineerde tapwaterverwarming";NL/SfB - Tabel 1 - (51.26)
nl-NL;NL/SfB;Tabel 1;(51.29);51.29;"warmte-opwekking; centraal, brandstoffenopslag";"(51.29) warmte-opwekking; centraal, brandstoffenopslag";NL/SfB - Tabel 1 - (51.29)
nl-NL;NL/SfB;Tabel 1;(51.3);51.3;"warmte-opwekking; toegeleverde warmte";"(51.3) warmte-opwekking; toegeleverde warmte";NL/SfB - Tabel 1 - (51.3)
nl-NL;NL/SfB;Tabel 1;(51.30);51.30;"warmte-opwekking; toegeleverde warmte, algemeen (verzamelniveau)";"(51.30) warmte-opwekking; toegeleverde warmte, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (51.30)
nl-NL;NL/SfB;Tabel 1;(51.31);51.31;"warmte-opwekking; toegeleverde warmte, water tot 140° C.";"(51.31) warmte-opwekking; toegeleverde warmte, water tot 140° c.";NL/SfB - Tabel 1 - (51.31)
nl-NL;NL/SfB;Tabel 1;(51.32);51.32;"warmte-opwekking; toegeleverde warmte, water boven 140° C.";"(51.32) warmte-opwekking; toegeleverde warmte, water boven 140° c.";NL/SfB - Tabel 1 - (51.32)
nl-NL;NL/SfB;Tabel 1;(51.33);51.33;"warmte-opwekking; toegeleverde warmte, stoom";"(51.33) warmte-opwekking; toegeleverde warmte, stoom";NL/SfB - Tabel 1 - (51.33)
nl-NL;NL/SfB;Tabel 1;(51.36);51.36;"warmte-opwekking; toegeleverde warmte, gecombineerde tapwaterverwarming";"(51.36) warmte-opwekking; toegeleverde warmte, gecombineerde tapwaterverwarming";NL/SfB - Tabel 1 - (51.36)
nl-NL;NL/SfB;Tabel 1;(51.4);51.4;"warmte-opwekking; warmte-krachtkoppeling";"(51.4) warmte-opwekking; warmte-krachtkoppeling";NL/SfB - Tabel 1 - (51.4)
nl-NL;NL/SfB;Tabel 1;(51.40);51.40;"warmte-opwekking; warmte-krachtkoppeling, algemeen (verzamelniveau)";"(51.40) warmte-opwekking; warmte-krachtkoppeling, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (51.40)
nl-NL;NL/SfB;Tabel 1;(51.41);51.41;"warmte-opwekking; warmte-krachtkoppeling, total-energy";"(51.41) warmte-opwekking; warmte-krachtkoppeling, total-energy";NL/SfB - Tabel 1 - (51.41)
nl-NL;NL/SfB;Tabel 1;(51.44);51.44;"warmte-opwekking; warmte-krachtkoppeling, schoorstenen/kanalen (niet bouwkundig)";"(51.44) warmte-opwekking; warmte-krachtkoppeling, schoorstenen/kanalen (niet bouwkundig)";NL/SfB - Tabel 1 - (51.44)
nl-NL;NL/SfB;Tabel 1;(51.46);51.46;"warmte-opwekking; warmte-krachtkoppeling, gecombineerde tapwater verwarming";"(51.46) warmte-opwekking; warmte-krachtkoppeling, gecombineerde tapwater verwarming";NL/SfB - Tabel 1 - (51.46)
nl-NL;NL/SfB;Tabel 1;(51.49);51.49;"warmte-opwekking; warmte-krachtkoppeling, brandstoffenopslag";"(51.49) warmte-opwekking; warmte-krachtkoppeling, brandstoffenopslag";NL/SfB - Tabel 1 - (51.49)
nl-NL;NL/SfB;Tabel 1;(51.5);51.5;"warmte-opwekking; bijzonder";"(51.5) warmte-opwekking; bijzonder";NL/SfB - Tabel 1 - (51.5)
nl-NL;NL/SfB;Tabel 1;(51.50);51.50;"warmte-opwekking; bijzonder, algemeen (verzamelniveau)";"(51.50) warmte-opwekking; bijzonder, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (51.50)
nl-NL;NL/SfB;Tabel 1;(51.51);51.51;"warmte-opwekking; bijzonder, warmtepomp";"(51.51) warmte-opwekking; bijzonder, warmtepomp";NL/SfB - Tabel 1 - (51.51)
nl-NL;NL/SfB;Tabel 1;(51.52);51.52;"warmte-opwekking; bijzonder, zonnecollectoren";"(51.52) warmte-opwekking; bijzonder, zonnecollectoren";NL/SfB - Tabel 1 - (51.52)
nl-NL;NL/SfB;Tabel 1;(51.53);51.53;"warmte-opwekking; bijzonder, accumulatie";"(51.53) warmte-opwekking; bijzonder, accumulatie";NL/SfB - Tabel 1 - (51.53)
nl-NL;NL/SfB;Tabel 1;(51.54);51.54;"warmte-opwekking; bijzonder, aardwarmte";"(51.54) warmte-opwekking; bijzonder, aardwarmte";NL/SfB - Tabel 1 - (51.54)
nl-NL;NL/SfB;Tabel 1;(51.55);51.55;"warmte-opwekking; bijzonder, kernenergie";"(51.55) warmte-opwekking; bijzonder, kernenergie";NL/SfB - Tabel 1 - (51.55)
nl-NL;NL/SfB;Tabel 1;(52);52;Afvoeren;(52) Afvoeren;NL/SfB - Tabel 1 - (52)
nl-NL;NL/SfB;Tabel 1;(52.0);52.0;"afvoeren; algemeen";"(52.0) afvoeren; algemeen";NL/SfB - Tabel 1 - (52.0)
nl-NL;NL/SfB;Tabel 1;(52.1);52.1;"afvoeren; regenwater";"(52.1) afvoeren; regenwater";NL/SfB - Tabel 1 - (52.1)
nl-NL;NL/SfB;Tabel 1;(52.10);52.10;"afvoeren; regenwater, algemeen (verzamelniveau)";"(52.10) afvoeren; regenwater, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (52.10)
nl-NL;NL/SfB;Tabel 1;(52.11);52.11;"afvoeren; regenwater, afvoerinstallatie; in het gebouw";"(52.11) afvoeren; regenwater, afvoerinstallatie; in het gebouw";NL/SfB - Tabel 1 - (52.11)
nl-NL;NL/SfB;Tabel 1;(52.12);52.12;"afvoeren; regenwater, afvoerinstallatie; buiten het gebouw";"(52.12) afvoeren; regenwater, afvoerinstallatie; buiten het gebouw";NL/SfB - Tabel 1 - (52.12)
nl-NL;NL/SfB;Tabel 1;(52.16);52.16;"afvoeren; regenwater, pompsysteem";"(52.16) afvoeren; regenwater, pompsysteem";NL/SfB - Tabel 1 - (52.16)
nl-NL;NL/SfB;Tabel 1;(52.2);52.2;"afvoeren; fecaliën";"(52.2) afvoeren; fecaliën";NL/SfB - Tabel 1 - (52.2)
nl-NL;NL/SfB;Tabel 1;(52.20);52.20;"afvoeren; fecaliën, algemeen (verzamelniveau)";"(52.20) afvoeren; fecaliën, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (52.20)
nl-NL;NL/SfB;Tabel 1;(52.21);52.21;"afvoeren; fecaliën, standaardsysteem";"(52.21) afvoeren; fecaliën, standaardsysteem";NL/SfB - Tabel 1 - (52.21)
nl-NL;NL/SfB;Tabel 1;(52.22);52.22;"afvoeren; fecaliën, vacuümsysteem";"(52.22) afvoeren; fecaliën, vacuümsysteem";NL/SfB - Tabel 1 - (52.22)
nl-NL;NL/SfB;Tabel 1;(52.23);52.23;"afvoeren; fecaliën, overdruksysteem";"(52.23) afvoeren; fecaliën, overdruksysteem";NL/SfB - Tabel 1 - (52.23)
nl-NL;NL/SfB;Tabel 1;(52.26);52.26;"afvoeren; fecaliën, pompsysteem";"(52.26) afvoeren; fecaliën, pompsysteem";NL/SfB - Tabel 1 - (52.26)
nl-NL;NL/SfB;Tabel 1;(52.3);52.3;"afvoeren; afvalwater";"(52.3) afvoeren; afvalwater";NL/SfB - Tabel 1 - (52.3)
nl-NL;NL/SfB;Tabel 1;(52.30);52.30;"afvoeren; afvalwater, algemeen (verzamelniveau)";"(52.30) afvoeren; afvalwater, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (52.30)
nl-NL;NL/SfB;Tabel 1;(52.31);52.31;"afvoeren; afvalwater, huishoudelijk afval";"(52.31) afvoeren; afvalwater, huishoudelijk afval";NL/SfB - Tabel 1 - (52.31)
nl-NL;NL/SfB;Tabel 1;(52.32);52.32;"afvoeren; afvalwater, bedrijfsafval";"(52.32) afvoeren; afvalwater, bedrijfsafval";NL/SfB - Tabel 1 - (52.32)
nl-NL;NL/SfB;Tabel 1;(52.36);52.36;"afvoeren; afvalwater, pompsysteem";"(52.36) afvoeren; afvalwater, pompsysteem";NL/SfB - Tabel 1 - (52.36)
nl-NL;NL/SfB;Tabel 1;(52.4);52.4;"afvoeren; gecombineerd";"(52.4) afvoeren; gecombineerd";NL/SfB - Tabel 1 - (52.4)
nl-NL;NL/SfB;Tabel 1;(52.40);52.40;"afvoeren; gecombineerd, algemeen (verzamelniveau)";"(52.40) afvoeren; gecombineerd, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (52.40)
nl-NL;NL/SfB;Tabel 1;(52.41);52.41;"afvoeren; gecombineerd, geïntegreerd systeem";"(52.41) afvoeren; gecombineerd, geïntegreerd systeem";NL/SfB - Tabel 1 - (52.41)
nl-NL;NL/SfB;Tabel 1;(52.46);52.46;"afvoeren; gecombineerd, pompsysteem";"(52.46) afvoeren; gecombineerd, pompsysteem";NL/SfB - Tabel 1 - (52.46)
nl-NL;NL/SfB;Tabel 1;(52.5);52.5;"afvoeren; speciaal";"(52.5) afvoeren; speciaal";NL/SfB - Tabel 1 - (52.5)
nl-NL;NL/SfB;Tabel 1;(52.50);52.50;"afvoeren; speciaal, algemeen (verzamelniveau)";"(52.50) afvoeren; speciaal, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (52.50)
nl-NL;NL/SfB;Tabel 1;(52.51);52.51;"afvoeren; speciaal, chemisch verontreinigd afvalwater";"(52.51) afvoeren; speciaal, chemisch verontreinigd afvalwater";NL/SfB - Tabel 1 - (52.51)
nl-NL;NL/SfB;Tabel 1;(52.52);52.52;"afvoeren; speciaal, biologisch besmet afvalwater";"(52.52) afvoeren; speciaal, biologisch besmet afvalwater";NL/SfB - Tabel 1 - (52.52)
nl-NL;NL/SfB;Tabel 1;(52.53);52.53;"afvoeren; speciaal, radioactief besmet afvalwater";"(52.53) afvoeren; speciaal, radioactief besmet afvalwater";NL/SfB - Tabel 1 - (52.53)
nl-NL;NL/SfB;Tabel 1;(52.56);52.56;"afvoeren; speciaal, pompsysteem";"(52.56) afvoeren; speciaal, pompsysteem";NL/SfB - Tabel 1 - (52.56)
